"DATE","TIME","Q [m3/s]","water temperature [C]"
"7/13/2012","18:00:00",NA,NA
"7/13/2012","19:00:00",NA,NA
"7/13/2012","20:00:00",NA,NA
"7/13/2012","21:00:00",NA,NA
"7/13/2012","22:00:00",NA,NA
"7/13/2012","23:00:00",NA,NA
"7/14/2012","0:00:00",NA,NA
"7/14/2012","1:00:00",NA,NA
"7/14/2012","2:00:00",NA,NA
"7/14/2012","3:00:00",NA,NA
"7/14/2012","4:00:00",NA,NA
"7/14/2012","5:00:00",NA,NA
"7/14/2012","6:00:00",NA,NA
"7/14/2012","7:00:00",NA,NA
"7/14/2012","8:00:00",NA,NA
"7/14/2012","9:00:00",NA,NA
"7/14/2012","10:00:00",NA,NA
"7/14/2012","11:00:00",NA,NA
"7/14/2012","12:00:00",NA,NA
"7/14/2012","13:00:00",NA,NA
"7/14/2012","14:00:00",NA,NA
"7/14/2012","15:00:00",NA,NA
"7/14/2012","16:00:00",NA,NA
"7/14/2012","17:00:00",NA,NA
"7/14/2012","18:00:00",NA,NA
"7/14/2012","19:00:00",NA,NA
"7/14/2012","20:00:00",NA,NA
"7/14/2012","21:00:00",NA,NA
"7/14/2012","22:00:00",NA,NA
"7/14/2012","23:00:00",NA,NA
"7/15/2012","0:00:00",NA,NA
"7/15/2012","1:00:00",NA,NA
"7/15/2012","2:00:00",NA,NA
"7/15/2012","3:00:00",NA,NA
"7/15/2012","4:00:00",NA,NA
"7/15/2012","5:00:00",NA,NA
"7/15/2012","6:00:00",NA,NA
"7/15/2012","7:00:00",NA,NA
"7/15/2012","8:00:00",NA,NA
"7/15/2012","9:00:00",NA,NA
"7/15/2012","10:00:00",NA,NA
"7/15/2012","11:00:00",NA,NA
"7/15/2012","12:00:00",NA,NA
"7/15/2012","13:00:00",NA,NA
"7/15/2012","14:00:00",NA,NA
"7/15/2012","15:00:00",NA,NA
"7/15/2012","16:00:00",NA,NA
"7/15/2012","17:00:00",NA,NA
"7/15/2012","18:00:00",NA,NA
"7/15/2012","19:00:00",NA,NA
"7/15/2012","20:00:00",NA,NA
"7/15/2012","21:00:00",NA,NA
"7/15/2012","22:00:00",NA,NA
"7/15/2012","23:00:00",NA,NA
"7/16/2012","0:00:00",NA,NA
"7/16/2012","1:00:00",NA,NA
"7/16/2012","2:00:00",NA,NA
"7/16/2012","3:00:00",NA,NA
"7/16/2012","4:00:00",NA,NA
"7/16/2012","5:00:00",NA,NA
"7/16/2012","6:00:00",NA,NA
"7/16/2012","7:00:00",NA,NA
"7/16/2012","8:00:00",NA,NA
"7/16/2012","9:00:00",NA,NA
"7/16/2012","10:00:00",NA,NA
"7/16/2012","11:00:00",NA,NA
"7/16/2012","12:00:00",NA,NA
"7/16/2012","13:00:00",NA,NA
"7/16/2012","14:00:00",NA,NA
"7/16/2012","15:00:00",NA,NA
"7/16/2012","16:00:00",NA,NA
"7/16/2012","17:00:00",NA,NA
"7/16/2012","18:00:00",NA,NA
"7/16/2012","19:00:00",NA,NA
"7/16/2012","20:00:00",NA,NA
"7/16/2012","21:00:00",NA,NA
"7/16/2012","22:00:00",NA,NA
"7/16/2012","23:00:00",NA,NA
"7/17/2012","0:00:00",NA,NA
"7/17/2012","1:00:00",NA,NA
"7/17/2012","2:00:00",NA,NA
"7/17/2012","3:00:00",NA,NA
"7/17/2012","4:00:00",NA,NA
"7/17/2012","5:00:00",NA,NA
"7/17/2012","6:00:00",NA,NA
"7/17/2012","7:00:00",NA,NA
"7/17/2012","8:00:00",NA,NA
"7/17/2012","9:00:00",NA,NA
"7/17/2012","10:00:00",NA,NA
"7/17/2012","11:00:00",NA,NA
"7/17/2012","12:00:00",NA,NA
"7/17/2012","13:00:00",NA,NA
"7/17/2012","14:00:00",NA,NA
"7/17/2012","15:00:00",NA,NA
"7/17/2012","16:00:00",NA,NA
"7/17/2012","17:00:00",NA,NA
"7/17/2012","18:00:00",NA,NA
"7/17/2012","19:00:00",NA,NA
"7/17/2012","20:00:00",NA,NA
"7/17/2012","21:00:00",NA,NA
"7/17/2012","22:00:00",NA,NA
"7/17/2012","23:00:00",NA,NA
"7/18/2012","0:00:00",NA,NA
"7/18/2012","1:00:00",NA,NA
"7/18/2012","2:00:00",NA,NA
"7/18/2012","3:00:00",NA,NA
"7/18/2012","4:00:00",NA,NA
"7/18/2012","5:00:00",NA,NA
"7/18/2012","6:00:00",NA,NA
"7/18/2012","7:00:00",NA,NA
"7/18/2012","8:00:00",NA,NA
"7/18/2012","9:00:00",NA,NA
"7/18/2012","10:00:00",NA,NA
"7/18/2012","11:00:00",NA,NA
"7/18/2012","12:00:00",NA,NA
"7/18/2012","13:00:00",NA,NA
"7/18/2012","14:00:00",NA,NA
"7/18/2012","15:00:00",NA,NA
"7/18/2012","16:00:00",NA,NA
"7/18/2012","17:00:00",NA,NA
"7/18/2012","18:00:00",NA,NA
"7/18/2012","19:00:00",NA,NA
"7/18/2012","20:00:00",NA,NA
"7/18/2012","21:00:00",NA,NA
"7/18/2012","22:00:00",NA,NA
"7/18/2012","23:00:00",NA,NA
"7/19/2012","0:00:00",NA,NA
"7/19/2012","1:00:00",NA,NA
"7/19/2012","2:00:00",NA,NA
"7/19/2012","3:00:00",NA,NA
"7/19/2012","4:00:00",NA,NA
"7/19/2012","5:00:00",NA,NA
"7/19/2012","6:00:00",NA,NA
"7/19/2012","7:00:00",NA,NA
"7/19/2012","8:00:00",NA,NA
"7/19/2012","9:00:00",NA,NA
"7/19/2012","10:00:00",NA,NA
"7/19/2012","11:00:00",NA,NA
"7/19/2012","12:00:00",NA,NA
"7/19/2012","13:00:00",NA,NA
"7/19/2012","14:00:00",NA,NA
"7/19/2012","15:00:00",NA,NA
"7/19/2012","16:00:00",NA,NA
"7/19/2012","17:00:00",NA,NA
"7/19/2012","18:00:00",NA,NA
"7/19/2012","19:00:00",NA,NA
"7/19/2012","20:00:00",NA,NA
"7/19/2012","21:00:00",NA,NA
"7/19/2012","22:00:00",NA,NA
"7/19/2012","23:00:00",NA,NA
"7/20/2012","0:00:00",NA,NA
"7/20/2012","1:00:00",NA,NA
"7/20/2012","2:00:00",NA,NA
"7/20/2012","3:00:00",NA,NA
"7/20/2012","4:00:00",NA,NA
"7/20/2012","5:00:00",NA,NA
"7/20/2012","6:00:00",NA,NA
"7/20/2012","7:00:00",NA,NA
"7/20/2012","8:00:00",NA,NA
"7/20/2012","9:00:00",NA,NA
"7/20/2012","10:00:00",NA,NA
"7/20/2012","11:00:00",NA,NA
"7/20/2012","12:00:00",NA,NA
"7/20/2012","13:00:00",NA,NA
"7/20/2012","14:00:00",NA,NA
"7/20/2012","15:00:00",NA,NA
"7/20/2012","16:00:00",NA,NA
"7/20/2012","17:00:00",NA,NA
"7/20/2012","18:00:00",NA,NA
"7/20/2012","19:00:00",NA,NA
"7/20/2012","20:00:00",NA,NA
"7/20/2012","21:00:00",NA,NA
"7/20/2012","22:00:00",NA,NA
"7/20/2012","23:00:00",NA,NA
"7/21/2012","0:00:00",NA,NA
"7/21/2012","1:00:00",NA,NA
"7/21/2012","2:00:00",NA,NA
"7/21/2012","3:00:00",NA,NA
"7/21/2012","4:00:00",NA,NA
"7/21/2012","5:00:00",NA,NA
"7/21/2012","6:00:00",NA,NA
"7/21/2012","7:00:00",NA,NA
"7/21/2012","8:00:00",NA,NA
"7/21/2012","9:00:00",NA,NA
"7/21/2012","10:00:00",NA,NA
"7/21/2012","11:00:00",NA,NA
"7/21/2012","12:00:00",NA,NA
"7/21/2012","13:00:00",NA,NA
"7/21/2012","14:00:00",NA,NA
"7/21/2012","15:00:00",NA,NA
"7/21/2012","16:00:00",NA,NA
"7/21/2012","17:00:00",NA,NA
"7/21/2012","18:00:00",NA,NA
"7/21/2012","19:00:00",NA,NA
"7/21/2012","20:00:00",NA,NA
"7/21/2012","21:00:00",NA,NA
"7/21/2012","22:00:00",NA,NA
"7/21/2012","23:00:00",NA,NA
"7/22/2012","0:00:00",NA,NA
"7/22/2012","1:00:00",NA,NA
"7/22/2012","2:00:00",NA,NA
"7/22/2012","3:00:00",NA,NA
"7/22/2012","4:00:00",NA,NA
"7/22/2012","5:00:00",NA,NA
"7/22/2012","6:00:00",NA,NA
"7/22/2012","7:00:00",NA,NA
"7/22/2012","8:00:00",NA,NA
"7/22/2012","9:00:00",NA,NA
"7/22/2012","10:00:00",NA,NA
"7/22/2012","11:00:00",NA,NA
"7/22/2012","12:00:00",NA,NA
"7/22/2012","13:00:00",NA,NA
"7/22/2012","14:00:00",NA,NA
"7/22/2012","15:00:00",NA,NA
"7/22/2012","16:00:00",NA,NA
"7/22/2012","17:00:00",NA,NA
"7/22/2012","18:00:00",NA,NA
"7/22/2012","19:00:00",NA,NA
"7/22/2012","20:00:00",NA,NA
"7/22/2012","21:00:00",NA,NA
"7/22/2012","22:00:00",NA,NA
"7/22/2012","23:00:00",NA,NA
"7/23/2012","0:00:00",NA,NA
"7/23/2012","1:00:00",NA,NA
"7/23/2012","2:00:00",NA,NA
"7/23/2012","3:00:00",NA,NA
"7/23/2012","4:00:00",NA,NA
"7/23/2012","5:00:00",NA,NA
"7/23/2012","6:00:00",NA,NA
"7/23/2012","7:00:00",NA,NA
"7/23/2012","8:00:00",NA,NA
"7/23/2012","9:00:00",NA,NA
"7/23/2012","10:00:00",NA,NA
"7/23/2012","11:00:00",NA,NA
"7/23/2012","12:00:00",NA,NA
"7/23/2012","13:00:00",NA,NA
"7/23/2012","14:00:00",NA,NA
"7/23/2012","15:00:00",NA,NA
"7/23/2012","16:00:00",NA,NA
"7/23/2012","17:00:00",NA,NA
"7/23/2012","18:00:00",NA,NA
"7/23/2012","19:00:00",NA,NA
"7/23/2012","20:00:00",NA,NA
"7/23/2012","21:00:00",NA,NA
"7/23/2012","22:00:00",NA,NA
"7/23/2012","23:00:00",NA,NA
"7/24/2012","0:00:00",NA,NA
"7/24/2012","1:00:00",NA,NA
"7/24/2012","2:00:00",NA,NA
"7/24/2012","3:00:00",NA,NA
"7/24/2012","4:00:00",NA,NA
"7/24/2012","5:00:00",NA,NA
"7/24/2012","6:00:00",NA,NA
"7/24/2012","7:00:00",NA,NA
"7/24/2012","8:00:00",NA,NA
"7/24/2012","9:00:00",NA,NA
"7/24/2012","10:00:00",NA,NA
"7/24/2012","11:00:00",NA,NA
"7/24/2012","12:00:00",NA,NA
"7/24/2012","13:00:00",NA,NA
"7/24/2012","14:00:00",NA,NA
"7/24/2012","15:00:00",NA,NA
"7/24/2012","16:00:00",NA,NA
"7/24/2012","17:00:00",NA,NA
"7/24/2012","18:00:00",NA,NA
"7/24/2012","19:00:00",NA,NA
"7/24/2012","20:00:00",NA,NA
"7/24/2012","21:00:00",NA,NA
"7/24/2012","22:00:00",NA,NA
"7/24/2012","23:00:00",NA,NA
"7/25/2012","0:00:00",NA,NA
"7/25/2012","1:00:00",NA,NA
"7/25/2012","2:00:00",NA,NA
"7/25/2012","3:00:00",NA,NA
"7/25/2012","4:00:00",NA,NA
"7/25/2012","5:00:00",NA,NA
"7/25/2012","6:00:00",NA,NA
"7/25/2012","7:00:00",NA,NA
"7/25/2012","8:00:00",NA,NA
"7/25/2012","9:00:00",NA,NA
"7/25/2012","10:00:00",NA,NA
"7/25/2012","11:00:00",NA,NA
"7/25/2012","12:00:00",NA,NA
"7/25/2012","13:00:00",NA,NA
"7/25/2012","14:00:00",NA,NA
"7/25/2012","15:00:00",NA,NA
"7/25/2012","16:00:00",NA,NA
"7/25/2012","17:00:00",NA,NA
"7/25/2012","18:00:00",NA,NA
"7/25/2012","19:00:00",NA,NA
"7/25/2012","20:00:00",NA,NA
"7/25/2012","21:00:00",NA,NA
"7/25/2012","22:00:00",NA,NA
"7/25/2012","23:00:00",NA,NA
"7/26/2012","0:00:00",NA,NA
"7/26/2012","1:00:00",NA,NA
"7/26/2012","2:00:00",NA,NA
"7/26/2012","3:00:00",NA,NA
"7/26/2012","4:00:00",NA,NA
"7/26/2012","5:00:00",NA,NA
"7/26/2012","6:00:00",NA,NA
"7/26/2012","7:00:00",NA,NA
"7/26/2012","8:00:00",NA,NA
"7/26/2012","9:00:00",NA,NA
"7/26/2012","10:00:00",NA,NA
"7/26/2012","11:00:00",NA,NA
"7/26/2012","12:00:00",NA,NA
"7/26/2012","13:00:00",NA,NA
"7/26/2012","14:00:00",NA,NA
"7/26/2012","15:00:00",NA,NA
"7/26/2012","16:00:00",NA,NA
"7/26/2012","17:00:00",NA,NA
"7/26/2012","18:00:00",NA,NA
"7/26/2012","19:00:00",NA,NA
"7/26/2012","20:00:00",NA,NA
"7/26/2012","21:00:00",NA,NA
"7/26/2012","22:00:00",NA,NA
"7/26/2012","23:00:00",NA,NA
"7/27/2012","0:00:00",NA,NA
"7/27/2012","1:00:00",NA,NA
"7/27/2012","2:00:00",NA,NA
"7/27/2012","3:00:00",NA,NA
"7/27/2012","4:00:00",NA,NA
"7/27/2012","5:00:00",NA,NA
"7/27/2012","6:00:00",NA,NA
"7/27/2012","7:00:00",NA,NA
"7/27/2012","8:00:00",NA,NA
"7/27/2012","9:00:00",NA,NA
"7/27/2012","10:00:00",NA,NA
"7/27/2012","11:00:00",NA,NA
"7/27/2012","12:00:00",NA,NA
"7/27/2012","13:00:00",NA,NA
"7/27/2012","14:00:00",NA,NA
"7/27/2012","15:00:00",NA,NA
"7/27/2012","16:00:00",NA,NA
"7/27/2012","17:00:00",NA,NA
"7/27/2012","18:00:00",NA,NA
"7/27/2012","19:00:00",NA,NA
"7/27/2012","20:00:00",NA,NA
"7/27/2012","21:00:00",NA,NA
"7/27/2012","22:00:00",NA,NA
"7/27/2012","23:00:00",NA,NA
"7/28/2012","0:00:00",NA,NA
"7/28/2012","1:00:00",NA,NA
"7/28/2012","2:00:00",NA,NA
"7/28/2012","3:00:00",NA,NA
"7/28/2012","4:00:00",NA,NA
"7/28/2012","5:00:00",NA,NA
"7/28/2012","6:00:00",NA,NA
"7/28/2012","7:00:00",NA,NA
"7/28/2012","8:00:00",NA,NA
"7/28/2012","9:00:00",NA,NA
"7/28/2012","10:00:00",NA,NA
"7/28/2012","11:00:00",NA,NA
"7/28/2012","12:00:00",NA,NA
"7/28/2012","13:00:00",NA,NA
"7/28/2012","14:00:00",NA,NA
"7/28/2012","15:00:00",NA,NA
"7/28/2012","16:00:00",NA,NA
"7/28/2012","17:00:00",NA,NA
"7/28/2012","18:00:00",NA,NA
"7/28/2012","19:00:00",NA,NA
"7/28/2012","20:00:00",NA,NA
"7/28/2012","21:00:00",NA,NA
"7/28/2012","22:00:00",NA,NA
"7/28/2012","23:00:00",NA,NA
"7/29/2012","0:00:00",NA,NA
"7/29/2012","1:00:00",NA,NA
"7/29/2012","2:00:00",NA,NA
"7/29/2012","3:00:00",NA,NA
"7/29/2012","4:00:00",NA,NA
"7/29/2012","5:00:00",NA,NA
"7/29/2012","6:00:00",NA,NA
"7/29/2012","7:00:00",NA,NA
"7/29/2012","8:00:00",NA,NA
"7/29/2012","9:00:00",NA,NA
"7/29/2012","10:00:00",NA,NA
"7/29/2012","11:00:00",NA,NA
"7/29/2012","12:00:00",NA,NA
"7/29/2012","13:00:00",NA,NA
"7/29/2012","14:00:00",NA,NA
"7/29/2012","15:00:00",NA,NA
"7/29/2012","16:00:00",NA,NA
"7/29/2012","17:00:00",NA,NA
"7/29/2012","18:00:00",NA,NA
"7/29/2012","19:00:00",NA,NA
"7/29/2012","20:00:00",NA,NA
"7/29/2012","21:00:00",NA,NA
"7/29/2012","22:00:00",NA,NA
"7/29/2012","23:00:00",NA,NA
"7/30/2012","0:00:00",NA,NA
